iokeys_RA-100_instrument_data
Datafile: C:\Users\jan.rune.herheim\Documents\GitHub\LE_LOADCELL_CONTROLLER\doc\iokeys\iokeys sw debug\17050401.305

No.	h_kg	l_kg	m_kg	Time	Date

000001	00000	00000	00000	10:44:53	04/05/17
000002	07271	07185	07247	10:45:53	04/05/17
000003	07271	07193	07255	10:46:53	04/05/17
000004	07271	07193	07255	10:47:53	04/05/17
000005	07271	07185	07247	10:48:53	04/05/17
000006	07271	07185	07247	10:49:53	04/05/17
000007	07271	07193	07263	10:50:53	04/05/17
000008	07279	07201	07255	10:51:53	04/05/17
000009	07279	07185	07255	10:52:53	04/05/17
000010	07279	07216	07263	10:53:53	04/05/17
000011	07279	07177	07247	10:54:53	04/05/17
000012	07279	07209	07263	10:55:53	04/05/17
000013	07279	07232	07271	10:56:53	04/05/17
